Sp1	Sp2	Date	Rep	N1	N2	Total	P1	P2	Run
PM.I2.5	AA.0	20201316	3	1.40E+10	2.80E+10	4.20E+10	0.333	0.667	6
PM.I2.5	AA.0	20201316	4	2.00E+10	3.00E+10	5.00E+10	0.400	0.600	6
PM.I2.5	AA.0	20201316	1	2.60E+09	2.00E+08	2.80E+09	0.929	0.071	6
PM.I2.5	AA.0	20201316	2	4.00E+09	2.40E+09	6.40E+09	0.625	0.375	6
PM.I2.5	AA.0	20201316	3	8.00E+09	1.40E+10	2.20E+10	0.364	0.636	6
PM.I2.5	AA.0	20201316	4	2.00E+10	2.20E+10	4.20E+10	0.476	0.524	6
PM.I2.5	AA.3	20201316	1	4.00E+09	8.00E+09	1.20E+10	0.333	0.667	6
PM.I2.5	AA.3	20201316	2	1.20E+10	4.00E+09	1.60E+10	0.750	0.250	6
PM.I2.5	AA.3	20201316	3	4.00E+09	4.00E+09	8.00E+09	0.500	0.500	6
PM.I2.5	AA.3	20201316	4	1.00E+10	6.00E+09	1.60E+10	0.625	0.375	6
PM.I2.5	AA.3	20201316	1	3.40E+09	6.00E+08	4.00E+09	0.850	0.150	6
PM.I2.5	AA.3	20201316	2	4.00E+09	1.40E+09	5.40E+09	0.741	0.259	6
PM.I2.5	AA.3	20201316	3	5.00E+09	2.00E+09	7.00E+09	0.714	0.286	6
PM.I2.5	AA.3	20201316	4	4.80E+09	1.20E+09	6.00E+09	0.800	0.200	6
